MSOA21CD_home,county_home,MSOA21CD_work,county_work,count
E02000005,GREATER_LONDON_AUTHORITY,E02000009,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000010,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000011,GREATER_LONDON_AUTHORITY,3
E02000005,GREATER_LONDON_AUTHORITY,E02000012,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000014,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000015,GREATER_LONDON_AUTHORITY,3
E02000005,GREATER_LONDON_AUTHORITY,E02000016,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000018,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000019,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000020,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000021,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000023,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000066,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000182,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000469,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000472,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000473,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000476,GREATER_LONDON_AUTHORITY,4
E02000005,GREATER_LONDON_AUTHORITY,E02000477,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000478,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000480,GREATER_LONDON_AUTHORITY,3
E02000005,GREATER_LONDON_AUTHORITY,E02000483,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000485,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000487,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000490,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000492,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000557,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000653,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000655,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000722,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000725,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000734,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000741,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000752,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000756,GREATER_LONDON_AUTHORITY,3
E02000005,GREATER_LONDON_AUTHORITY,E02000767,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000770,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000772,GREATER_LONDON_AUTHORITY,4
E02000005,GREATER_LONDON_AUTHORITY,E02000774,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000779,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000813,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000903,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02006799,GREATER_LONDON_AUTHORITY,4
E02000005,GREATER_LONDON_AUTHORITY,E02006800,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02006802,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02006854,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02006924,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02006996,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02007018,GREATER_LONDON_AUTHORITY,3
E02000005,GREATER_LONDON_AUTHORITY,E02007020,GREATER_LONDON_AUTHORITY,1
E02000007,GREATER_LONDON_AUTHORITY,E02000002,GREATER_LONDON_AUTHORITY,1
E02000007,GREATER_LONDON_AUTHORITY,E02000004,GREATER_LONDON_AUTHORITY,4
E02000007,GREATER_LONDON_AUTHORITY,E02000005,GREATER_LONDON_AUTHORITY,12
E02000007,GREATER_LONDON_AUTHORITY,E02000007,GREATER_LONDON_AUTHORITY,20
