MSOA11CD,active_commuters,prop_car,prop_pt,prop_active
E02000624,4019,0.12266733018163722,0.6991789002239363,0.1699427718337895
E02000625,3978,0.12895927601809956,0.7061337355455003,0.1596279537456008
E02000626,3448,0.1424013921113689,0.6574825986078886,0.18793503480278423
E02000627,5355,0.10289449112978524,0.7366946778711485,0.153874883286648
E02000628,4414,0.11848663343905755,0.729497054825555,0.14499320344358857
E02000629,5652,0.11341118188251946,0.7301840056617127,0.1521585279547063
E02000630,4408,0.12477313974591651,0.7155172413793104,0.15517241379310345
E02000631,4701,0.14890448840672196,0.6000850882790896,0.2431397574984046
E02000632,6641,0.09697334738744165,0.7509411233248005,0.1472669778647794
E02000633,4455,0.1063973063973064,0.710662177328844,0.17732884399551066
E02000634,3832,0.11717118997912317,0.7434759916492694,0.1336116910229645
E02000635,5021,0.126867157936666,0.6779525990838479,0.19159529974108744
E02000636,4573,0.14366936365624317,0.6988847583643123,0.1513229827246884
E02000637,5276,0.12130401819560273,0.6859363153904473,0.18612585291887793
E02000638,5122,0.14740335806325655,0.6930886372510738,0.15365091761030847
E02000639,3815,0.16199213630406292,0.709305373525557,0.12477064220183487
E02000640,5266,0.15875427269274592,0.6897075579187238,0.14736042537030003
E02000641,3730,0.17908847184986595,0.6876675603217158,0.12654155495978553
E02000642,4687,0.19223383827608279,0.650949434606358,0.14956262001280138
E02000643,4448,0.19199640287769784,0.6926708633093526,0.11151079136690648
E02000644,4401,0.22403999091115656,0.6459895478300386,0.12406271301976823
E02000645,4616,0.20775563258232235,0.6490467937608319,0.13648180242634314
E02000646,5215,0.21188878235858102,0.6745925215723874,0.10795781399808245
E02000647,4098,0.2884333821376281,0.5944363103953147,0.10883357735480723
E02000648,3051,0.26319239593575877,0.6309406751884628,0.09996722386102917
E02000649,6096,0.18585958005249345,0.6993110236220472,0.1104002624671916
E02000650,3513,0.22345573583831482,0.6530031312268716,0.11642470822658696
E02000651,4287,0.23816188476790295,0.6594355026825286,0.0947049218567763
E02000652,3350,0.2928358208955224,0.626268656716418,0.07671641791044777
E02006801,4252,0.08936970837253057,0.5183443085606774,0.3845249294449671
E02000653,4129,0.17897796076531847,0.6919350932429159,0.10462581738919835
E02000654,3243,0.1877890841813136,0.6725254394079556,0.13012642614862782
E02000655,3949,0.16966320587490505,0.7011901747277792,0.12028361610534312
E02000657,4673,0.146586775090948,0.7010485769313075,0.14551679863043013
E02000658,4114,0.17282450170150704,0.6737967914438503,0.14608653378706854
E02000659,3665,0.1855388813096862,0.6949522510231924,0.11323328785811733
E02000660,4560,0.14692982456140352,0.7236842105263158,0.12302631578947368
E02000661,3415,0.17481698389458272,0.7238653001464129,0.09546120058565154
E02000662,4015,0.2169364881693649,0.6523038605230386,0.12503113325031134
E02000663,3664,0.18968340611353712,0.6653930131004366,0.1345524017467249
E02000665,4142,0.2146306132303235,0.6605504587155964,0.11878319652341864
E02000666,3539,0.24583215597626448,0.610624470189319,0.13789205990392767
E02000667,3293,0.2760400850288491,0.5903431521409049,0.12663225022775584
E02000668,3301,0.27506816116328386,0.6089063920024235,0.10875492275068162
E02000669,3922,0.20295767465578787,0.682559918408975,0.10785313615502294
E02000670,2859,0.2682756208464498,0.602308499475341,0.11892270024484085
E02000671,4304,0.22630111524163568,0.654275092936803,0.1129182156133829
E02000672,3828,0.25653082549634276,0.6314002089864159,0.10475444096133751
E02000673,4144,0.23672779922779924,0.6452702702702703,0.11269305019305019
E02000674,3751,0.34710743801652894,0.5465209277525993,0.10103972274060251
E02000675,4039,0.4052983411735578,0.5016093092349592,0.08368408021787571
E02000676,3968,0.2872983870967742,0.5962701612903226,0.11164314516129033
E02000677,3285,0.3497716894977169,0.5394216133942161,0.10745814307458143
E02000678,2528,0.4098101265822785,0.507120253164557,0.07713607594936708
E02000679,3739,0.2893821877507355,0.6138004814121423,0.09093340465365071
E02000680,3066,0.24298760600130462,0.6510110893672537,0.09719504240052185
E02000681,3487,0.37396042443361055,0.5196443934614282,0.10065959277315745
E02000682,3228,0.4052044609665427,0.5030978934324659,0.0848822800495663
E02000683,2630,0.3581749049429658,0.5722433460076045,0.06197718631178707
E02000685,3493,0.2985971943887776,0.6149441740624105,0.08245061551674777
E02000686,2639,0.3361121636983706,0.5558923834785904,0.10306934444865479
E02000687,3642,0.2784184514003295,0.6224601867105986,0.09362987369577155
E02006783,2823,0.4116188452001417,0.48813319164009916,0.0924548352816153
E02006784,2958,0.42258282623394183,0.49729546991210277,0.07302231237322515
E02006798,3431,0.16788108423200232,0.6910521713786069,0.13552900029146023
E02000714,3657,0.2245009570686355,0.6828001093792726,0.08859721082854799
E02000715,2537,0.2794639337800552,0.6306661411115491,0.0823807646826961
E02000716,2856,0.27310924369747897,0.6428571428571429,0.07738095238095238
E02000717,3058,0.24427730542838458,0.6726618705035972,0.07880967952910399
E02000718,2199,0.3133242382901319,0.5834470213733515,0.09458844929513416
E02000719,3792,0.20780590717299577,0.6943565400843882,0.09335443037974683
E02000720,3167,0.26997158193874327,0.6081465108935902,0.11809283233343859
E02000721,3633,0.23754472887420863,0.6416184971098265,0.11560693641618497
E02000722,4105,0.16930572472594396,0.741291108404385,0.08428745432399513
E02000723,4202,0.24369347929557353,0.633745835316516,0.11613517372679677
E02000724,3516,0.25426621160409557,0.6345278725824801,0.10580204778156997
